Geography,Time Period,Time Period End Date,Product Universe,Product Level,Brand,UPC,Description,PACK COUNT,FLAVOR,NFP - PROTEIN,NFP RANGES - PROTEIN VALUE,Dollars,"Dollars, Yago",Units,"Units, Yago",EQ Units,"EQ Units, Yago",Avg % ACV,"Avg % ACV, Yago",Max % ACV,"Max % ACV, Yago",TDP,"TDP, Yago",Average Weekly TDP,"Average Weekly TDP, Yago",Average Items Selling,"Average Items Selling, Yago",Number of Weeks Selling,"Number of Weeks Selling, Yago",Weight Weeks,"Weight Weeks, Yago",First Week Selling,Dollars SPM,"Dollars SPM, Yago",Units SPM,"Units SPM, Yago",Average Weekly Dollars SPM,"Average Weekly Dollars SPM, Yago",Average Weekly Units SPM,"Average Weekly Units SPM, Yago",Dollars SPM Per Item,"Dollars SPM Per Item, Yago",Units SPM Per Item,"Units SPM Per Item, Yago",Dollars SPP,"Dollars SPP, Yago",Units SPP,"Units SPP, Yago",Dollars/TDP,"Dollars/TDP, Yago",Units/TDP,"Units/TDP, Yago",ARP,"ARP, Yago","Dollars, Promo","Dollars, Promo, Yago","Dollars, Non-Promo","Dollars, Non-Promo, Yago","Dollars, % Promo","Dollars, % Promo, Yago","Units, Promo","Units, Promo, Yago","Units, Non-Promo","Units, Non-Promo, Yago","Units, % Promo","Units, % Promo, Yago","Avg % ACV, Any Promo","Avg % ACV, Any Promo, Yago","Avg % ACV, Non-Promo","Avg % ACV, Non-Promo, Yago","Max % ACV, Any Promo","Max % ACV, Any Promo, Yago","Max % ACV, Non-Promo","Max % ACV, Non-Promo, Yago","TDP, Any Promo","TDP, Any Promo, Yago","TDP, Non-Promo","TDP, Non-Promo, Yago","Weight Weeks, Any Promo","Weight Weeks, Any Promo, Yago","Weight Weeks, Non-Promo","Weight Weeks, Non-Promo, Yago","Average Weekly TDP, Any Promo","Average Weekly TDP, Any Promo, Yago","Average Weekly TDP, Non-Promo","Average Weekly TDP, Non-Promo, Yago",Promo Weeks,"Promo Weeks, Yago",Base Dollars,"Base Dollars, Yago",Base Units,"Base Units, Yago",Incr Dollars,"Incr Dollars, Yago",Incr Units,"Incr Units, Yago","Dollar ,% Lift, TPR","Dollar ,% Lift, TPR, Yago","Dollar ,% Lift, Any Display","Dollar ,% Lift, Any Display, Yago","Dollar ,% Lift, Any Feature","Dollar ,% Lift, Any Feature, Yago","Dollar ,% Lift, Display Only","Dollar ,% Lift, Display Only, Yago","Dollar ,% Lift, Feature & Display","Dollar ,% Lift, Feature & Display, Yago","Dollar ,% Lift, Feature Only","Dollar ,% Lift, Feature Only, Yago","Dollar ,% Lift, SPK","Dollar ,% Lift, SPK, Yago","Units ,% Lift, Any Display","Units ,% Lift, Any Display, Yago","Units ,% Lift, Any Feature","Units ,% Lift, Any Feature, Yago","Units ,% Lift, Display Only","Units ,% Lift, Display Only, Yago","Units ,% Lift, Feature Only","Units ,% Lift, Feature Only, Yago","Units ,% Lift, Feature & Display","Units ,% Lift, Feature & Display, Yago","Units ,% Lift, SPK","Units ,% Lift, SPK, Yago","Units ,% Lift, TPR","Units ,% Lift, TPR, Yago","ARP % Discount, Any Display","ARP % Discount, Any Display, Yago","ARP % Discount, Any Feature","ARP % Discount, Any Feature, Yago","ARP % Discount, Display Only","ARP % Discount, Display Only, Yago","ARP % Discount, Feature & Display","ARP % Discount, Feature & Display, Yago","ARP % Discount, Feature Only","ARP % Discount, Feature Only, Yago","ARP % Discount, TPR Only","ARP % Discount, TPR Only, Yago","ARP % Discount, SPK","ARP % Discount, SPK, Yago","Base ARP, Any Display","Base ARP, Any Display, Yago","Base ARP, Any Feature","Base ARP, Any Feature, Yago","Base ARP, Display Only","Base ARP, Display Only, Yago","Base ARP, Feature & Display","Base ARP, Feature & Display, Yago","Base ARP, Feature Only","Base ARP, Feature Only, Yago","Base ARP, SPK","Base ARP, SPK, Yago","Base ARP, TPR","Base ARP, TPR, Yago","ARP, Any Display","ARP, Any Display, Yago","ARP, Any Feature","ARP, Any Feature, Yago","ARP, Display Only","ARP, Display Only, Yago","ARP, Feature & Display","ARP, Feature & Display, Yago","ARP, Feature Only","ARP, Feature Only, Yago","ARP, SPK","ARP, SPK, Yago","ARP, TPR","ARP, TPR, Yago"
NOR. CALIFORNIA - STANDARD REGION - NAT EXP CHNL,WEEK,10/22/2023,TPL,UPC,QUAKER CHEWY,00-30000-45010,Quaker Chewy Variety Pack Granola Snack Bar 15.2oz,18,ASSORTED,1 g,0.5 TO < 5G PROTEIN,669.16,,123.4,,2221.4,,30.7,,30.7,,30.7,,30.7,,1,,1,,0.3,,2023-01-08,0.29,,0.1,,0.29,,0.1,,0.29,,0.1,,21.78,,4,,21.78,,4,,5.42,,34.53,,634.63,,5.2,,6.9,,116.5,,5.6,,1.3,,29.4,,1.3,,29.4,,1.3,,29.4,,0,,0.3,,1.3,,29.4,,1,0,666.73,,122.3,,2.43,,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL US - REGIONAL AND INDEPENDENT GROCERY CHANNEL,WEEK,03/22/2026,TPL,UPC,GOOD SOURCE FOODS,08-50035-88721,Good Source Snacks Ancient Grain And Dark Chocolate Sunflower Pumpkin Seed Hemp Bites 3 Oz,1,PUMPKIN / PUMPKIN SPICE,2 g,0.5 TO < 5G PROTEIN,222.77,,47.5,,47.5,,0.6,,0.6,,0.6,,0.6,,1,,1,,0,,2025-11-02,0.22,,0.1,,0.22,,0.1,,0.22,,0.1,,371.28,,79.2,,371.28,,79.2,,4.69,,45.19,,177.59,,20.3,,9.5,,38,,20,,0.1,,0.5,,0.1,,0.5,,0.1,,0.5,,0,,0,,0.1,,0.5,,1,0,220.87,,46.6,,1.9,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROSAUERS SUPERMARKETS - TOTAL US,WEEK,05/07/2023,TPL,UPC,SUNBELT,00-24300-03111,Sunbelt Bakery Chocolate Chip Granola Snack Bar 11.26oz,10,CHOCOLATE CHIP / CHUNK,2 g,0.5 TO < 5G PROTEIN,371.22,,138,,1380,,85.4,,85.4,,85.4,,85.4,,1,,1,,0.8,,2023-01-08,0.89,,0.3,,0.89,,0.3,,0.89,,0.3,,4.34,,1.6,,4.34,,1.6,,2.69,,5.38,,365.84,,1.4,,2,,136,,1.4,,4,,81.4,,4,,81.4,,4,,81.4,,0,,0.8,,4,,81.4,,1,0,371.22,,138,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HARMONS NEIGHBORHOOD GROCER - TOTAL US,WEEK,03/12/2023,TPL,UPC,ATKINS,06-37480-05401,Atkn1 Vpc#4 Hprsn Nsb Ss 8.47oz,5,UNKNOWN,15 g,15 TO < 20G PROTEIN,107.88,,12,,60,,47.7,,47.7,,47.7,,47.7,,1,,1,,0.5,,2023-01-08,0.31,,0,,0.31,,0,,0.31,,0,,2.26,,0.3,,2.26,,0.3,,8.99,,80.91,,26.97,,75,,9,,3,,75,,36.5,,11.3,,36.5,,11.3,,36.5,,11.3,,0.4,,0.1,,36.5,,11.3,,1,0,88.62,,9.7,,19.26,,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPROUTS FARMERS MARKET - TOTAL US W/O PL,WEEK,08/27/2023,TPL,UPC,CLIF BAR,07-22252-66076,Clif Bar Wht Choc Macadamia Br Ogc 2.4oz(6pk),6,CHOCOLATE NUT,9 g,5 TO < 10G PROTEIN,3734.51,,374.3,,2245.7,,56.8,,56.8,,56.8,,56.8,,1,,1,,0.6,,2023-01-08,0.89,,0.1,,0.89,,0.1,,0.89,,0.1,,65.7,,6.6,,65.7,,6.6,,9.98,,38.21,,3696.3,,1,,4.3,,370,,1.1,,0.7,,56.2,,0.7,,56.2,,0.7,,56.2,,0,,0.6,,0.7,,56.2,,1,0,3718.46,,372.4,,16.05,,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WEST - COMBINED STANDARD REGION - NAT EXP CHNL,WEEK,09/17/2023,TPL,UPC,CLIF BUILDERS,07-22252-18359,Clif Builders Ch Mnt Prtn Br Ogc 2.4oz (12pk),12,MINT,20 g,20 TO < 25G PROTEIN,1317.12,,52.8,,634.1,,6.4,,6.4,,6.4,,6.4,,1,,1,,0.1,,2023-01-08,1.04,,0,,1.04,,0,,1.04,,0,,206.77,,8.3,,206.77,,8.3,,24.93,,65.75,,1251.37,,5,,2.8,,50.1,,5.2,,0.3,,6.1,,0.3,,6.1,,0.3,,6.1,,0,,0.1,,0.3,,6.1,,1,0,1301.37,,52.1,,15.75,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOUTHWEST + SOUTH CENTRAL - COMBINED STANDARD REGION - NAT EXP CHNL,WEEK,01/15/2023,TPL,UPC,ANNIES HOMEGROWN,00-13562-28972,Annies Homegrown Organic Original Snack Bar 3.9oz,5,PLAIN/UNFLAVORED,1 g,0.5 TO < 5G PROTEIN,4817.21,,955.4,,4776.9,,51,,51,,51,,51,,1,,1,,0.5,,2023-01-08,0.8,,0.2,,0.8,,0.2,,0.8,,0.2,,94.4,,18.7,,94.4,,18.7,,5.04,,104.78,,4712.43,,2.2,,24.6,,930.8,,2.6,,0.8,,50.3,,0.8,,50.3,,0.8,,50.3,,0,,0.5,,0.8,,50.3,,1,0,4802.9,,949.3,,14.31,,6.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIDWEST - US CENSUS REGION - REG AND INDEP GROC CHNL,WEEK,02/16/2025,TPL,UPC,CLIF ZBAR,07-22252-06857,Clif Zbar Halloween Minis Spooky Choco Chip Og 9.88 Oz,1,CHOCOLATE CHIP / CHUNK,"","",65.21,,11.8,,11.8,,0.5,,0.5,,0.5,,0.5,,1,,1,,0,,2024-09-08,0.32,,0.1,,0.32,,0.1,,0.32,,0.1,,144.91,,26.2,,144.91,,26.2,,5.52,,49.66,,15.55,,76.2,,6.6,,5.2,,56,,0.4,,0.1,,0.4,,0.1,,0.4,,0.1,,0,,0,,0.4,,0.1,,1,0,65.21,,11.8,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL US - NATURAL EXPANDED CHANNEL,WEEK,05/18/2025,TPL,UPC,THINK!,07-53656-71991,Think! Minis Choc Pb High Prtn Bars 0.92 Oz (8 Pk),8,CHOCOLATE PEANUT,6 g,5 TO < 10G PROTEIN,3333.39,,373,,2983.7,,11,,11,,11,,11,,1,,1,,0.1,,2024-06-09,0.68,,0.1,,0.68,,0.1,,0.68,,0.1,,303.59,,34,,303.59,,34,,8.94,,3020.14,,313.25,,90.6,,343.7,,29.3,,92.1,,9.3,,1.7,,9.3,,1.7,,9.3,,1.7,,0.1,,0,,9.3,,1.7,,1,0,2777.99,,292.5,,555.4,,80.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RALEYS - TOTAL US,WEEK,08/13/2023,TPL,UPC,BOBOS,08-29262-00034,Bobos Apl Pie Stffd Oat Bites Ogc 1.3oz (5pk),5,APPLE,2 g,0.5 TO < 5G PROTEIN,798.14,,162,,810,,68.5,,68.5,,68.5,,68.5,,1,,1,,0.7,,2023-01-08,0.3,,0.1,,0.3,,0.1,,0.3,,0.1,,11.66,,2.4,,11.66,,2.4,,4.93,,36.48,,761.66,,4.6,,8,,154,,4.9,,4.4,,64,,4.4,,64,,4.4,,64,,0,,0.6,,4.4,,64,,1,0,790.08,,160.2,,8.06,,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOR. CALIFORNIA + SOUTHWEST - COMBINED STANDARD REGION - NAT EXP CHNL,WEEK,02/26/2023,TPL,UPC,LARABAR,00-21908-50915,Larabar Pecan Pie 1.6 Oz,1,NUTS AND SEEDS (OTHER THAN PEANUT),3 g,0.5 TO < 5G PROTEIN,960.37,,509.8,,509.8,,18.1,,18.1,,18.1,,18.1,,1,,1,,0.2,,2023-01-08,0.37,,0.2,,0.37,,0.2,,0.37,,0.2,,53.03,,28.1,,53.03,,28.1,,1.88,,158.26,,802.12,,16.5,,100,,409.8,,19.6,,4,,14.1,,4,,14.1,,4,,14.1,,0,,0.1,,4,,14.1,,1,0,897.53,,459.3,,62.84,,50.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOR. CALIFORNIA - STANDARD REGION - NAT EXP CHNL,WEEK,05/14/2023,TPL,UPC,GOMACRO,08-53555-00668,Gomacro Macrobar Ccnt Almd Btr Choc Og 2.3oz,1,COCONUT,11 g,10 TO < 15G PROTEIN,5733.74,,2044.9,,2044.9,,81.2,,81.2,,81.2,,81.2,,1,,1,,0.8,,2023-01-08,0.94,,0.3,,0.94,,0.3,,0.94,,0.3,,70.61,,25.2,,70.61,,25.2,,2.8,,5567.29,,166.45,,97.1,,1999.4,,45.6,,97.8,,78.5,,2.7,,78.5,,2.7,,78.5,,2.7,,0.8,,0,,78.5,,2.7,,1,0,4051.94,,1253.6,,1681.8,,791.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNCLE GIUSEPPES MARKETPLACE - TOTAL US,WEEK,01/08/2023,TPL,UPC,CANDO,08-50009-08917,Cando Almd Bttr Blackbrry Jelly Krisp 1.59 Oz,1,ALMOND / AMARETTO,11 g,10 TO < 15G PROTEIN,10,,4,,4,,19.3,,19.3,,19.3,,19.3,,1,,1,,0.2,,2023-01-08,0.13,,0.1,,0.13,,0.1,,0.13,,0.1,,0.52,,0.2,,0.52,,0.2,,2.5,,2.5,,7.5,,25,,1,,3,,25,,8.4,,10.8,,8.4,,10.8,,8.4,,10.8,,0.1,,0.1,,8.4,,10.8,,1,0,10,,4,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOUTH CENTRAL - STANDARD REGION - NAT EXP CHNL,WEEK,10/08/2023,TPL,UPC,CLIF BAR,07-22252-10260,Clif Bar Blueberry Crisp Ogc 2.4 Oz,1,BLUEBERRY,11 g,10 TO < 15G PROTEIN,267.34,,168.7,,168.7,,8.7,,8.7,,8.7,,8.7,,1,,1,,0.1,,2023-01-08,0.6,,0.4,,0.6,,0.4,,0.6,,0.4,,30.66,,19.3,,30.66,,19.3,,1.58,,237.46,,29.88,,88.8,,153.7,,15.1,,91.1,,7.4,,1.3,,7.4,,1.3,,7.4,,1.3,,0.1,,0,,7.4,,1.3,,1,0,212.89,,119.5,,54.45,,49.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EAST MIDWEST - STANDARD REGION - REG AND INDEP GROC CHNL,WEEK,05/28/2023,TPL,UPC,PAMELAS,00-93709-60033,Pamelas Whenever Blue Lem 1.41oz (5pk),5,LEMON,2 g,0.5 TO < 5G PROTEIN,1325.37,,180.4,,901.9,,11.9,,11.9,,11.9,,11.9,,1,,1,,0.1,,2023-01-08,0.41,,0.1,,0.41,,0.1,,0.41,,0.1,,111.28,,15.1,,111.28,,15.1,,7.35,,7.79,,1317.58,,0.6,,1.3,,179.1,,0.7,,0.2,,11.7,,0.2,,11.7,,0.2,,11.7,,0,,0.1,,0.2,,11.7,,1,0,1325.37,,180.4,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCCAFFREYS - TOTAL US,WEEK,08/27/2023,TPL,UPC,ZONE PERFECT,06-38102-63506,Zone Perfect Chocolate Carml Clstr Bar 1.58oz,1,CHOCOLATE,11 g,10 TO < 15G PROTEIN,21.6,,19,,19,,48.8,,48.8,,48.8,,48.8,,1,,1,,0.5,,2023-01-08,0.16,,0.1,,0.16,,0.1,,0.16,,0.1,,0.44,,0.4,,0.44,,0.4,,1.14,,14.91,,6.69,,69,,14,,5,,73.7,,22.9,,25.8,,22.9,,25.8,,22.9,,25.8,,0.2,,0.3,,22.9,,25.8,,1,0,21.6,,19,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOUTHWEST - STANDARD REGION - NAT EXP CHNL,WEEK,06/18/2023,TPL,UPC,QUAKER CHEWY,00-30000-57168,Quaker Chewy Chc Cp Redcd Sgr Br .84oz (18pk),18,CHOCOLATE CHIP / CHUNK,1 g,0.5 TO < 5G PROTEIN,105.72,,19.3,,346.6,,2.8,,2.8,,2.8,,2.8,,1,,1,,0,,2023-01-08,0.55,,0.1,,0.55,,0.1,,0.55,,0.1,,37.49,,6.8,,37.49,,6.8,,5.49,,24.4,,81.32,,23.1,,4.4,,14.8,,23.1,,1,,1.8,,1,,1.8,,1,,1.8,,0,,0,,1,,1.8,,1,0,105.07,,18.6,,0.65,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MID-ATLANTIC - STANDARD REGION - NAT EXP CHNL,WEEK,01/29/2023,TPL,UPC,THINK!,07-53656-71942,Think! Keto Choc Mousse Pie Protein Bar 1.2oz,1,COOKIE / PASTRY / CAKE,10 g,10 TO < 15G PROTEIN,349.4,,142.9,,142.9,,10.3,,10.3,,10.3,,10.3,,1,,1,,0.1,,2023-01-08,0.46,,0.2,,0.46,,0.2,,0.46,,0.2,,33.99,,13.9,,33.99,,13.9,,2.45,,230.32,,119.08,,65.9,,102.2,,40.7,,71.5,,7,,3.3,,7,,3.3,,7,,3.3,,0.1,,0,,7,,3.3,,1,0,280.55,,101.5,,68.85,,41.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
